,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1048,K PLUS,FINANCE,4.4,124.424,,10000000.0,Free,0.0,Everyone,Finance,"June 26, 2018",4.6.0,4.2 and up
1049,ING Banking,FINANCE,4.4,39.041,,1000000.0,Free,0.0,Everyone,Finance,"August 3, 2018",Varies with device,Varies with device
1050,Citibanamex Movil,FINANCE,3.6,52.306,42.0,5000000.0,Free,0.0,Everyone,Finance,"July 27, 2018",20.1.0,5.0 and up
1051,The postal bank,FINANCE,3.7,36.718,,5000000.0,Free,0.0,Everyone,Finance,"July 16, 2018",Varies with device,Varies with device
1052,KTB Netbank,FINANCE,3.8,42.644,19.0,5000000.0,Free,0.0,Everyone,Finance,"June 28, 2018",8.18,4.2 and up
1053,Mobile Bancomer,FINANCE,4.2,278.082,70.0,10000000.0,Free,0.0,Everyone,Finance,"July 30, 2018",10.78,4.0.3 and up
1054,Nedbank Money,FINANCE,4.2,6.076,32.0,500000.0,Free,0.0,Everyone,Finance,"July 28, 2018",4.1.1-0-prod,4.2 and up
1055,SCB EASY,FINANCE,4.2,112.656,93.0,5000000.0,Free,0.0,Everyone,Finance,"July 19, 2018",3.9.0,4.1 and up
1056,CASHIER,FINANCE,3.3,335.738,,10000000.0,Free,0.0,Everyone,Finance,"May 3, 2018",Varies with device,Varies with device
1057,Rabo Banking,FINANCE,3.4,31.906,,1000000.0,Free,0.0,Everyone,Finance,"July 19, 2018",5.16.0,4.0 and up
1058,Capitec Remote Banking,FINANCE,4.3,20.672,,1000000.0,Free,0.0,Everyone,Finance,"May 8, 2018",Varies with device,Varies with device
1059,Itau bank,FINANCE,4.2,957.973,40.0,10000000.0,Free,0.0,Everyone,Finance,"July 30, 2018",6.5.7,4.2 and up
1060,Nubank,FINANCE,4.7,130.582,24.0,5000000.0,Free,0.0,Everyone,Finance,"August 2, 2018",Varies with device,Varies with device
1061,The Societe Generale App,FINANCE,4.1,31.218,,1000000.0,Free,0.0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
